,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2014-09-04,286.04,291.42,280.4,1.72,284.01,281.19,8341749,20140904,3,30,9.325253467894573,9.491109652306553
2014-09-05,277.39,282.9,272.51,-3.02,282.55,286.04,11176170,20140905,4,31,9.375955683709117,9.555316105713226
2014-09-08,282.11,284.88,277.52,1.7,277.62,277.39,5505040,20140908,0,32,9.335195889246778,9.481364955305144
2014-09-09,278.48,285.49,277.0,-1.29,282.99,282.11,4567958,20140909,1,33,9.294948465949313,9.410553172783347
2014-09-10,281.1,281.41,273.66,0.94,279.5,278.48,3785988,20140910,2,34,9.25471282471363,9.341942231870249
2014-09-11,280.31,284.79,278.63,-0.28,280.46,281.1,3768584,20140911,3,35,9.11448840448917,9.125374929593805
2014-09-12,279.2,282.39,277.0,-0.4,280.5,280.31,3328302,20140912,4,36,8.93713181379921,8.858562434622819
2014-09-15,253.86,274.4,249.13,-9.08,274.37,279.2,16464949,20140915,0,37,9.996316013142104,10.452950832149762
2014-09-16,260.74,262.46,252.42,2.71,255.15,253.86,8303971,20140916,1,38,10.79553906013534,11.619168629853348
2014-09-17,261.38,264.7,259.5,0.25,262.41,260.74,5179923,20140917,2,39,10.79765624774794,11.563513727720965
2014-09-18,263.82,265.6,262.32,0.93,263.36,261.38,3699314,20140918,3,40,10.514910712140896,11.084691318598036
2014-09-19,259.32,261.43,255.27,-1.71,257.99,263.82,6811714,20140919,4,41,10.307534011562758,10.732927652983893
2014-09-22,250.03,256.02,244.71,-3.58,255.0,259.32,8222963,20140922,0,42,10.726699058631198,11.331289963485037
2014-09-23,250.41,253.8,245.0,0.15,245.22,250.03,5660048,20140923,1,43,10.897808627267807,11.544769251807535
2014-09-24,252.14,252.84,247.04,0.69,251.12,250.41,3754376,20140924,2,44,10.655055835493151,11.134428590964141
2014-09-25,246.95,254.96,246.1,-2.06,252.52,252.14,4843712,20140925,3,45,10.569576986183954,10.971969405895274
2014-09-26,246.6,249.73,246.07,-0.14,248.25,246.95,3798841,20140926,4,46,10.355311415413286,10.621828734045609
2014-09-29,245.26,248.64,241.38,-0.54,244.0,246.6,4854687,20140929,0,47,10.20791563372694,10.38169811018521
2014-09-30,242.68,247.65,240.125,-1.05,246.92,245.26,4248127,20140930,1,48,10.080157746406613,10.177648245171982
2014-10-01,240.24,242.66,235.65,-1.01,242.2,242.68,5946510,20141001,2,49,10.057769282292009,10.137101941945412
2014-10-02,251.42,252.79,245.36,4.65,250.2,240.24,9002001,20141002,3,50,10.060256459325725,10.13516608894931
2014-10-03,255.21,256.5,251.03,1.51,253.06,251.42,5408665,20141003,4,51,10.355482342214977,10.572654225452933
2014-10-06,260.62,262.49,257.8,2.12,259.13,255.21,7719055,20141006,0,52,10.389506992585694,10.608178923634867
2014-10-07,259.57,261.46,255.73,-0.4,258.53,260.62,4491569,20141007,1,53,10.192387611986373,10.296880429089516
2014-10-08,259.28,262.88,252.64,-0.11,260.1,259.57,5062615,20141008,2,54,10.194654868558453,10.292817541297408
2014-10-09,257.01,265.54,254.4,-0.88,262.25,259.28,7361316,20141009,3,55,10.239671303389002,10.353330574061882
2014-10-10,236.91,245.89,235.2,-7.82,244.64,257.01,12898280,20141010,4,56,10.898734574656194,11.33380696162889
2014-10-13,224.59,238.96,221.0,-5.2,238.57,236.91,11276550,20141013,0,57,12.094509118720186,13.096392178655396
2014-10-14,227.06,232.47,223.0,1.1,228.25,224.59,7112339,20141014,1,58,12.180961065447793,13.154507023037151
2014-10-15,229.7,230.99,217.32,1.16,220.0,227.06,9151648,20141015,2,59,12.251867681378851,13.191327949963071
2014-10-16,226.35,229.92,219.1,-1.46,219.72,229.7,5404565,20141016,3,60,12.183683506075097,13.021947382108564
2014-10-17,227.48,234.77,226.55,0.5,233.38,226.35,10551850,20141017,4,61,11.994936672452473,12.678951140529382
2014-10-20,230.47,232.4,225.51,1.31,226.72,227.48,3499686,20141020,0,62,11.751844449954733,12.265454630491572
2014-10-21,235.34,235.39,230.8,2.11,234.27,230.47,4130345,20141021,1,63,11.568899476147369,11.9543507283136
2014-10-22,231.1,237.39,230.56,-1.8,233.19,235.34,4123397,20141022,2,64,11.34752331061654,11.594754247719774
2014-10-23,235.29,236.28,232.0,1.81,234.655,231.1,3499882,20141023,3,65,11.010974581539562,11.072271801454077
2014-10-24,235.24,237.8,231.2,-0.02,236.27,235.29,3466927,20141024,4,66,10.805690077656728,10.759966672778788
2014-10-27,221.67,234.61,220.31,-5.77,234.25,235.24,9553348,20141027,0,67,11.004466740625459,11.061397624723158
2014-10-28,242.77,244.6,228.25,9.52,229.6,221.67,10516300,20141028,1,68,11.259015943452814,11.439154937242932
2014-10-29,238.1,241.5,235.64,-1.92,241.13,242.77,4967640,20141029,2,69,11.667158041383633,12.038501013154152
2014-10-30,238.66,240.5,235.06,0.24,238.14,238.1,3228371,20141030,3,70,11.478721944174886,11.729322369357428
2014-10-31,241.7,243.12,238.75,1.27,242.51,238.66,3775327,20141031,4,71,11.171163756357037,11.250085057260465
2014-11-03,242.59,247.56,241.32,0.37,243.0,241.7,4207268,20141103,0,72,11.063013101292414,11.08222183888472
